date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir,idx_lp_valve_tier1_t0,idx_lp_valve_tier1_t7,idx_lp_valve_tier1_pm7,idx_lp_valve_tier1_pm30,idx_lp_s_tier_t0,idx_lp_s_tier_t7,idx_lp_s_tier_pm7,idx_lp_s_tier_pm30,idx_lp_a_tier_t0,idx_lp_a_tier_t7,idx_lp_a_tier_pm7,idx_lp_a_tier_pm30,lp_valve_tier1,lp_valve_tier1_cnt,lp_s_tier,lp_s_tier_cnt,lp_a_tier,lp_a_tier_cnt,lp_event_score,lp_event_intensity,lp_valve_tier1_cnt_norm,lp_s_tier_cnt_norm,lp_a_tier_cnt_norm,lp_event_score_norm,lp_event_intensity_norm
2014-10-01,AUG | Colony (Battle-Scarred),0.03,0.03,43.0,0.03,0.03,0.032,0.0,0.0,0.0301428571428571,0.0003499271061118,0.0306,0.002026491220476,0.0857861091730051,303.0,43.285714285714285,1551.0,51.7,2,10,0.0,0.0301428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2014-10-01,AUG | Colony (Battle-Scarred),0.03,0.03,43.0,0.03,0.03,0.032,0.0,0.0,0.0301428571428571,0.0003499271061118,0.0306,0.002026491220476,0.0857861091730051,303.0,43.285714285714285,1551.0,51.7,2,10,0.0,0.0301428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-02,AUG | Colony (Battle-Scarred),0.03,0.03,39.0,0.03,0.03,0.032,0.0,0.0,0.0301428571428571,0.0003499271061118,0.0305333333333333,0.0020121851030382,0.0857861091730051,310.0,44.285714285714285,1533.0,51.1,3,10,0.0,0.0301428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2014-10-02,AUG | Colony (Battle-Scarred),0.03,0.03,39.0,0.03,0.03,0.032,0.0,0.0,0.0301428571428571,0.0003499271061118,0.0305333333333333,0.0020121851030382,0.0857861091730051,310.0,44.285714285714285,1533.0,51.1,3,10,0.0,0.0301428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-03,AUG | Colony (Battle-Scarred),0.03,0.03,41.0,0.03,0.03,0.032,0.0,0.0,0.0301428571428571,0.0003499271061118,0.0304666666666666,0.0019955506062794,0.0857861091730051,297.0,42.42857142857143,1499.0,49.96666666666667,4,10,0.0,0.0301428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2014-10-03,AUG | Colony (Battle-Scarred),0.03,0.03,41.0,0.03,0.03,0.032,0.0,0.0,0.0301428571428571,0.0003499271061118,0.0304666666666666,0.0019955506062794,0.0857861091730051,297.0,42.42857142857143,1499.0,49.96666666666667,4,10,0.0,0.0301428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-04,AUG | Colony (Battle-Scarred),0.031,0.031,38.0,0.03,0.031,0.03,0.0333333333333334,0.0,0.0301428571428571,0.0003499271061118,0.0305,0.0019958289839896,0.0851300451512565,296.0,42.285714285714285,1470.0,49.0,5,10,0.0,0.0301428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2014-10-04,AUG | Colony (Battle-Scarred),0.031,0.031,38.0,0.03,0.031,0.03,0.0333333333333334,0.0,0.0301428571428571,0.0003499271061118,0.0305,0.0019958289839896,0.0851300451512565,296.0,42.285714285714285,1470.0,49.0,5,10,0.0,0.0301428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-05,AUG | Colony (Battle-Scarred),0.03,0.03,46.0,0.031,0.03,0.03,-0.0322580645161291,0.0,0.0301428571428571,0.0003499271061118,0.0305,0.0019958289839896,0.0853842586547674,284.0,40.57142857142857,1464.0,48.8,6,10,0.0,0.0301428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2014-10-05,AUG | Colony (Battle-Scarred),0.03,0.03,46.0,0.031,0.03,0.03,-0.0322580645161291,0.0,0.0301428571428571,0.0003499271061118,0.0305,0.0019958289839896,0.0853842586547674,284.0,40.57142857142857,1464.0,48.8,6,10,0.0,0.0301428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-06,AUG | Colony (Battle-Scarred),0.03,0.03,39.0,0.03,0.03,0.032,0.0,0.0,0.0301428571428571,0.0003499271061118,0.0304333333333333,0.0019779338265529,0.0845747894582471,278.0,39.71428571428572,1436.0,47.86666666666667,0,10,0.0,0.0301428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2014-10-06,AUG | Colony (Battle-Scarred),0.03,0.03,39.0,0.03,0.03,0.032,0.0,0.0,0.0301428571428571,0.0003499271061118,0.0304333333333333,0.0019779338265529,0.0845747894582471,278.0,39.71428571428572,1436.0,47.86666666666667,0,10,0.0,0.0301428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-07,AUG | Colony (Battle-Scarred),0.03,0.03,31.0,0.03,0.03,0.03,0.0,0.0,0.0301428571428571,0.0003499271061118,0.0304333333333333,0.0019779338265529,0.0837440458616105,277.0,39.57142857142857,1412.0,47.06666666666667,1,10,0.0,0.0301428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2014-10-07,AUG | Colony (Battle-Scarred),0.03,0.03,31.0,0.03,0.03,0.03,0.0,0.0,0.0301428571428571,0.0003499271061118,0.0304333333333333,0.0019779338265529,0.0837440458616105,277.0,39.57142857142857,1412.0,47.06666666666667,1,10,0.0,0.0301428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-08,AUG | Colony (Battle-Scarred),0.03,0.03,50.0,0.03,0.03,0.03,0.0,0.0,0.0301428571428571,0.0003499271061118,0.0304333333333333,0.0019779338265529,0.0837440458616105,284.0,40.57142857142857,1390.0,46.333333333333336,2,10,0.0,0.0301428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2014-10-08,AUG | Colony (Battle-Scarred),0.03,0.03,50.0,0.03,0.03,0.03,0.0,0.0,0.0301428571428571,0.0003499271061118,0.0304333333333333,0.0019779338265529,0.0837440458616105,284.0,40.57142857142857,1390.0,46.333333333333336,2,10,0.0,0.0301428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-09,AUG | Colony (Battle-Scarred),0.03,0.03,42.0,0.03,0.03,0.041,0.0,0.0,0.0301428571428571,0.0003499271061118,0.0300666666666666,0.0002494438257849,0.0496398014602048,287.0,41.0,1379.0,45.96666666666667,3,10,0.0,0.0301428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2014-10-09,AUG | Colony (Battle-Scarred),0.03,0.03,42.0,0.03,0.03,0.041,0.0,0.0,0.0301428571428571,0.0003499271061118,0.0300666666666666,0.0002494438257849,0.0496398014602048,287.0,41.0,1379.0,45.96666666666667,3,10,0.0,0.0301428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-10,AUG | Colony (Battle-Scarred),0.036,0.036,68.0,0.03,0.03,0.03,0.1999999999999999,0.1999999999999999,0.031,0.002070196678027,0.0302666666666666,0.0010934146311237,0.0378335064662762,314.0,44.85714285714285,1402.0,46.73333333333333,4,10,0.0,0.0301428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2014-10-10,AUG | Colony (Battle-Scarred),0.036,0.036,68.0,0.03,0.03,0.03,0.1999999999999999,0.1999999999999999,0.031,0.002070196678027,0.0302666666666666,0.0010934146311237,0.0378335064662762,314.0,44.85714285714285,1402.0,46.73333333333333,4,10,0.0,0.0301428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-11,AUG | Colony (Battle-Scarred),0.035,0.035,34.0,0.036,0.031,0.03,-0.0277777777777775,0.1290322580645162,0.0315714285714285,0.0024989793835051,0.0304333333333333,0.0013828312341794,0.038323823733698,310.0,44.285714285714285,1373.0,45.766666666666666,5,10,0.0,0.0301428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2014-10-11,AUG | Colony (Battle-Scarred),0.035,0.035,34.0,0.036,0.031,0.03,-0.0277777777777775,0.1290322580645162,0.0315714285714285,0.0024989793835051,0.0304333333333333,0.0013828312341794,0.038323823733698,310.0,44.285714285714285,1373.0,45.766666666666666,5,10,0.0,0.0301428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-12,AUG | Colony (Battle-Scarred),0.03,0.03,48.0,0.035,0.03,0.03,-0.142857142857143,0.0,0.0315714285714285,0.0024989793835051,0.0304333333333333,0.0013828312341794,0.0467083319029288,312.0,44.57142857142857,1374.0,45.8,6,10,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2014-10-12,AUG | Colony (Battle-Scarred),0.03,0.03,48.0,0.035,0.03,0.03,-0.142857142857143,0.0,0.0315714285714285,0.0024989793835051,0.0304333333333333,0.0013828312341794,0.0467083319029288,312.0,44.57142857142857,1374.0,45.8,6,10,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-13,AUG | Colony (Battle-Scarred),0.031,0.031,32.0,0.03,0.03,0.03,0.0333333333333334,0.0333333333333334,0.0317142857142857,0.0024327694808466,0.0304666666666666,0.0013840359661351,0.0470652339645927,305.0,43.57142857142857,1310.0,43.66666666666666,0,10,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2014-10-13,AUG | Colony (Battle-Scarred),0.031,0.031,32.0,0.03,0.03,0.03,0.0333333333333334,0.0333333333333334,0.0317142857142857,0.0024327694808466,0.0304666666666666,0.0013840359661351,0.0470652339645927,305.0,43.57142857142857,1310.0,43.66666666666666,0,10,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-14,AUG | Colony (Battle-Scarred),0.03,0.03,30.0,0.031,0.03,0.03,-0.0322580645161291,0.0,0.0317142857142857,0.0024327694808466,0.0304666666666666,0.0013840359661351,0.0474690931687652,304.0,43.42857142857143,1283.0,42.766666666666666,1,10,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2014-10-14,AUG | Colony (Battle-Scarred),0.03,0.03,30.0,0.031,0.03,0.03,-0.0322580645161291,0.0,0.0317142857142857,0.0024327694808466,0.0304666666666666,0.0013840359661351,0.0474690931687652,304.0,43.42857142857143,1283.0,42.766666666666666,1,10,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-15,AUG | Colony (Battle-Scarred),0.03,0.03,42.0,0.03,0.03,0.03,0.0,0.0,0.0317142857142857,0.0024327694808466,0.0304666666666666,0.0013840359661351,0.0474690931687652,296.0,42.285714285714285,1282.0,42.73333333333333,2,10,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2014-10-15,AUG | Colony (Battle-Scarred),0.03,0.03,42.0,0.03,0.03,0.03,0.0,0.0,0.0317142857142857,0.0024327694808466,0.0304666666666666,0.0013840359661351,0.0474690931687652,296.0,42.285714285714285,1282.0,42.73333333333333,2,10,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-16,AUG | Colony (Battle-Scarred),0.033,0.033,58.0,0.03,0.03,0.03,0.1,0.1,0.0321428571428571,0.0023560603574958,0.0305666666666666,0.0014533486237727,0.0506783445804691,312.0,44.57142857142857,1291.0,43.03333333333333,3,10,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2014-10-16,AUG | Colony (Battle-Scarred),0.033,0.033,58.0,0.03,0.03,0.03,0.1,0.1,0.0321428571428571,0.0023560603574958,0.0305666666666666,0.0014533486237727,0.0506783445804691,312.0,44.57142857142857,1291.0,43.03333333333333,3,10,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
