date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir,idx_lp_valve_tier1_t0,idx_lp_valve_tier1_t7,idx_lp_valve_tier1_pm7,idx_lp_valve_tier1_pm30,idx_lp_s_tier_t0,idx_lp_s_tier_t7,idx_lp_s_tier_pm7,idx_lp_s_tier_pm30,idx_lp_a_tier_t0,idx_lp_a_tier_t7,idx_lp_a_tier_pm7,idx_lp_a_tier_pm30,lp_valve_tier1,lp_valve_tier1_cnt,lp_s_tier,lp_s_tier_cnt,lp_a_tier,lp_a_tier_cnt,lp_event_score,lp_event_intensity,lp_valve_tier1_cnt_norm,lp_s_tier_cnt_norm,lp_a_tier_cnt_norm,lp_event_score_norm,lp_event_intensity_norm
2014-09-01,AUG | Colony (Battle-Scarred),0.032,0.032,67.0,0.038,0.031,0.03,-0.1578947368421052,0.032258064516129,0.0317142857142857,0.0027105237087157,0.0875666666666666,0.2989085348768453,9.98124727340641,478.0,68.28571428571429,2019.0,67.3,0,9,0.0,0.0322857142857142,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
2014-09-01,AUG | Colony (Battle-Scarred),0.032,0.032,67.0,0.038,0.031,0.03,-0.1578947368421052,0.032258064516129,0.0317142857142857,0.0027105237087157,0.0875666666666666,0.2989085348768453,9.98124727340641,478.0,68.28571428571429,2019.0,67.3,0,9,0.0,0.0322857142857142,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-02,AUG | Colony (Battle-Scarred),0.032,0.032,57.0,0.032,0.03,0.03,0.0,0.0666666666666666,0.032,0.0026186146828319,0.0876333333333333,0.2988959109047087,9.98124727340641,468.0,66.85714285714286,2008.0,66.93333333333334,1,9,0.0,0.0322857142857142,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
2014-09-02,AUG | Colony (Battle-Scarred),0.032,0.032,57.0,0.032,0.03,0.03,0.0,0.0666666666666666,0.032,0.0026186146828319,0.0876333333333333,0.2988959109047087,9.98124727340641,468.0,66.85714285714286,2008.0,66.93333333333334,1,9,0.0,0.0322857142857142,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-03,AUG | Colony (Battle-Scarred),0.032,0.032,75.0,0.032,0.03,0.034,0.0,0.0666666666666666,0.0322857142857142,0.0024907993963089,0.0875666666666666,0.2989080888091782,9.982032242330591,481.0,68.71428571428571,2006.0,66.86666666666666,2,9,0.0,0.0322857142857142,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
2014-09-03,AUG | Colony (Battle-Scarred),0.032,0.032,75.0,0.032,0.03,0.034,0.0,0.0666666666666666,0.0322857142857142,0.0024907993963089,0.0875666666666666,0.2989080888091782,9.982032242330591,481.0,68.71428571428571,2006.0,66.86666666666666,2,9,0.0,0.0322857142857142,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-04,AUG | Colony (Battle-Scarred),0.03,0.03,67.0,0.032,0.03,0.03,-0.0625,0.0,0.0322857142857142,0.0024907993963089,0.0875666666666666,0.2989080888091782,9.981678958962242,485.0,69.28571428571429,2013.0,67.1,3,9,0.0,0.0322857142857142,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
2014-09-04,AUG | Colony (Battle-Scarred),0.03,0.03,67.0,0.032,0.03,0.03,-0.0625,0.0,0.0322857142857142,0.0024907993963089,0.0875666666666666,0.2989080888091782,9.981678958962242,485.0,69.28571428571429,2013.0,67.1,3,9,0.0,0.0322857142857142,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-05,AUG | Colony (Battle-Scarred),0.03,0.03,52.0,0.03,0.03,0.031,0.0,0.0,0.0322857142857142,0.0024907993963089,0.0875333333333333,0.2989144507863225,9.981880659552068,468.0,66.85714285714286,1985.0,66.16666666666667,4,9,0.0,0.032,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
2014-09-05,AUG | Colony (Battle-Scarred),0.03,0.03,52.0,0.03,0.03,0.031,0.0,0.0,0.0322857142857142,0.0024907993963089,0.0875333333333333,0.2989144507863225,9.981880659552068,468.0,66.85714285714286,1985.0,66.16666666666667,4,9,0.0,0.032,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-06,AUG | Colony (Battle-Scarred),0.032,0.032,67.0,0.03,0.032,0.03,0.0666666666666666,0.0,0.0322857142857142,0.0024907993963089,0.0875999999999999,0.2989018344986639,9.981281868814497,443.0,63.285714285714285,1986.0,66.2,5,9,0.0,0.0317142857142857,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
