date,idx_lp_valve_tier1_t0,idx_lp_valve_tier1_t7,idx_lp_valve_tier1_pm7,idx_lp_valve_tier1_pm30,idx_lp_s_tier_t0,idx_lp_s_tier_t7,idx_lp_s_tier_pm7,idx_lp_s_tier_pm30,idx_lp_a_tier_t0,idx_lp_a_tier_t7,idx_lp_a_tier_pm7,idx_lp_a_tier_pm30
2015-07-01,0,0,1,1,0,0,1,1,0,0,1,1
2015-07-02,1,1,1,1,1,1,1,1,1,1,1,1
2015-07-03,1,1,1,1,1,1,1,1,1,1,1,1
2015-07-04,1,1,1,1,1,1,1,1,1,1,1,1
2015-07-05,1,1,1,1,1,1,1,1,1,1,1,1
2015-07-06,0,1,1,1,0,1,1,1,0,1,1,1
2015-07-07,0,1,1,1,0,1,1,1,0,1,1,1
2015-07-08,0,1,1,1,0,1,1,1,0,1,1,1
2015-07-09,0,1,1,1,0,1,1,1,0,1,1,1
2015-07-10,1,1,1,1,1,1,1,1,1,1,1,1
2015-07-11,1,1,1,1,1,1,1,1,1,1,1,1
2015-07-12,1,1,1,1,1,1,1,1,1,1,1,1
2015-07-13,0,1,1,1,0,1,1,1,0,1,1,1
2015-07-14,0,1,1,1,0,1,1,1,0,1,1,1
2015-07-15,0,1,1,1,0,1,1,1,0,1,1,1
2015-07-16,1,1,1,1,1,1,1,1,1,1,1,1
2015-07-17,1,1,1,1,1,1,1,1,1,1,1,1
2015-07-18,1,1,1,1,1,1,1,1,1,1,1,1
2015-07-19,0,1,1,1,0,1,1,1,0,1,1,1
2015-07-20,0,1,1,1,0,1,1,1,0,1,1,1
2015-07-21,0,1,1,1,0,1,1,1,0,1,1,1
2015-07-22,0,1,1,1,0,1,1,1,0,1,1,1
2015-07-23,0,1,1,1,0,1,1,1,0,1,1,1
2015-07-24,1,1,1,1,1,1,1,1,1,1,1,1
2015-07-25,1,1,1,1,1,1,1,1,1,1,1,1
2015-07-26,1,1,1,1,1,1,1,1,1,1,1,1
2015-07-27,0,1,1,1,0,1,1,1,0,1,1,1
2015-07-28,0,1,1,1,0,1,1,1,0,1,1,1
2015-07-29,0,1,1,1,0,1,1,1,0,1,1,1
2015-07-30,0,1,1,1,0,1,1,1,0,1,1,1
2015-07-31,0,1,1,1,0,1,1,1,0,1,1,1
