date,idx_lp_valve_tier1_t0,idx_lp_valve_tier1_t7,idx_lp_valve_tier1_pm7,idx_lp_valve_tier1_pm30,idx_lp_s_tier_t0,idx_lp_s_tier_t7,idx_lp_s_tier_pm7,idx_lp_s_tier_pm30,idx_lp_a_tier_t0,idx_lp_a_tier_t7,idx_lp_a_tier_pm7,idx_lp_a_tier_pm30
2025-08-01,0,0,0,1,0,0,0,1,0,0,0,1
2025-08-02,0,0,0,1,0,0,0,1,0,0,0,1
2025-08-03,0,0,0,1,0,0,0,1,0,0,0,1
2025-08-04,0,0,0,1,0,0,0,1,0,0,0,1
2025-08-05,0,0,0,1,0,0,0,1,0,0,0,1
2025-08-06,0,0,0,1,0,0,0,1,0,0,0,1
2025-08-07,0,0,1,1,0,0,1,1,0,0,1,1
2025-08-08,0,0,1,1,0,0,1,1,0,0,1,1
2025-08-09,0,0,1,1,0,0,1,1,0,0,1,1
2025-08-10,0,0,1,1,0,0,1,1,0,0,1,1
2025-08-11,0,0,1,1,0,0,1,1,0,0,1,1
2025-08-12,0,0,1,1,0,0,1,1,0,0,1,1
2025-08-13,0,0,1,1,0,0,1,1,0,0,1,1
2025-08-14,1,1,1,1,1,1,1,1,1,1,1,1
2025-08-15,1,1,1,1,1,1,1,1,1,1,1,1
2025-08-16,1,1,1,1,1,1,1,1,1,1,1,1
2025-08-17,1,1,1,1,1,1,1,1,1,1,1,1
2025-08-18,0,1,1,1,0,1,1,1,0,1,1,1
2025-08-19,0,1,1,1,0,1,1,1,0,1,1,1
2025-08-20,1,1,1,1,1,1,1,1,1,1,1,1
2025-08-21,1,1,1,1,1,1,1,1,1,1,1,1
2025-08-22,1,1,1,1,1,1,1,1,1,1,1,1
2025-08-23,1,1,1,1,1,1,1,1,1,1,1,1
2025-08-24,1,1,1,1,1,1,1,1,1,1,1,1
2025-08-25,0,1,1,1,0,1,1,1,0,1,1,1
2025-08-26,0,1,1,1,0,1,1,1,0,1,1,1
2025-08-27,0,1,1,1,0,1,1,1,0,1,1,1
2025-08-28,0,1,1,1,0,1,1,1,0,1,1,1
2025-08-29,0,1,1,1,0,1,1,1,0,1,1,1
2025-08-30,0,1,1,1,0,1,1,1,0,1,1,1
2025-08-31,0,1,1,1,0,1,1,1,0,1,1,1
